Cedro Amargo,Cedrela odorata Meliaceae
Guanacaste,Enterolobium cycloarpum Mimosaceae
Guarumo,Cecropiaceae
Guayabo,Psidium guajava Mirtaceae
Higuerón,Ficus costaricana Moraceae
Roble Sabana,Tabebuia rosea Bignoniaceae
Poró,Erythrina poeppigiana
Jacaranda,Jacaranda mimosifolia
Cortés amarillo,Tabebuia ochracea
Roble Sabana,Tabebuia roseae
Llama del Bosque,Spathodea campanulata
Malinche,Delonix regia
Guachipelín,Diphysa americana
Ilan Ilan,Cananga odorata
Guaria Morada,Cattleya skinneri 
Epidendrum albertii,Epidendrum albertii 
Encyclia trachycarpa,Encyclia trachycarpa 
Elleanthus graminifolius,Elleanthus graminifolius 
Dichaea neglecta,Dichaea neglecta 
Cryptocentrum gracilipes,Cryptocentrum gracilipes  
Cranichis talamancana,Cranichis talamancana 
Cranichis lankesteri,Cranichis lankesteri
Caularthron bilamellatum,Caularthron bilamellatum 
Beloglottis bicaudata,Beloglottis bicaudata 
Brachionidium haberi,Brachionidium haberi 
Chuabardiella pacuarensis,Chuabardiella pacuarensis 
Cleistes costaricensis,Cleistes costaricensis 
Cranichis muscosa,Cranichis muscosa
Cryptarrhena lunata,Cryptarrhena lunata 
Cryptophoranthus dayana,Cryptophoranthus dayana 
Dichaea tuerckheimii,Dichaea tuerckheimii 
Eltroplectris roseoalba,Eltroplectris roseoalba 
Encyclia alata,Encyclia alata 
Encyclia spondiada,Encyclia spondiada 
Epidendrum allochronum,Epidendrum allochronum
Epidendrum amparoanum,Epidendrum amparoanum 
Epidendrum anastasioi,Epidendrum anastasioi 
Epidendrum anceps,Epidendrum anceps 
Epidendrum angustisegmentum,Epidendrum angustisegmentum 
Epidendrum anoglossoides,Epidendrum anoglossoides 
Goodyera major,Goodyera major  
Goodyera micrantha,Goodyera micrantha 
Goodyera modesta,Goodyera modesta 
Goodyera ovatilabia,Goodyera ovatilabia 
Goodyera striata,Goodyera striata  
Goodyera turialbae,Goodyera turialbae 
Huntleya burtii,Huntleya burtii 
Huntleya fasciata,Huntleya fasciata
Hybochilus inconspicuus,Hybochilus inconspicuus 
Hybochilus leochilinus,Hybochilus leochilinus
Sochilus amparoanus,Sochilus amparoanus 
Lepanthes caloptera,Lepanthes caloptera 
Lepanthes candida,Lepanthes candida 
Lepanthes cascajalensis,Lepanthes cascajalensis
Lepanthes circularis,Lepanthes circularis 
Lepanthes chameleon,Lepanthes chameleon 
Lepanthes chiriquensis,Lepanthes chiriquensis 
Lepanthes ciliisepala,Lepanthes ciliisepala 
Lepanthes clareae,Lepanthes clareae 
Lepanthes coeloglossa,Lepanthes coeloglossa 
Lepanthes collaris,Lepanthes collaris
Lepanthes comet-halleyi,Lepanthes comet-halleyi 
Lepanthes monteverdensis,Lepanthes monteverdensis 
Lepanthes mulderae,Lepanthes mulderae  
Lepanthes myiophora,Lepanthes myiophora 
Lepanthes mystax,Lepanthes mystax 
Lepanthes nymphalis,Lepanthes nymphalis 
Lepanthes orbella,Lepanthes orbella 
Lockhartia acuta,Lockhartia acuta 
Lockhartia amoena,Lockhartia amoena  
Lockhartia chocoensis,Lockhartia chocoensis 
Lockhartia dipleura,Lockhartia dipleura  
Lockhartia hercodonta,Lockhartia hercodonta 
Lockhartia micrantha,Lockhartia micrantha 
Lockhartia pittieri,Lockhartia pittieri 
